Number,State,Value,Param batch_size,Param ent_coef,Param gamma,Param learning_rate,Param n_steps,Param net_arch
0,COMPLETE,-3.412989854812622,32,0.028057582076672527,0.9724674002393291,0.0007969454818643932,512,64_64
1,COMPLETE,-3.83270525932312,256,0.011635338541918906,0.9519508867315916,4.059611610484306e-05,2048,256_256
2,COMPLETE,-3.6095480918884277,64,0.08204643365323959,0.9064401077055427,2.1930485556643678e-05,1024,256_256
3,COMPLETE,-3.4175925254821777,32,0.10568529720322861,0.9514867340966033,4.201672054372529e-05,2048,64_64_64
4,COMPLETE,-3.8328328132629395,128,0.02994501836127151,0.982045013406041,3.488976654890367e-05,2048,256_256
5,COMPLETE,-3.3778724670410156,32,0.14354376740977334,0.907330420521675,0.000348771262454593,2048,256_256
6,COMPLETE,-3.376433849334717,32,0.008672783321180473,0.9753177198130728,0.0002669866674274458,1024,64_64_64
7,PRUNED,-3.853450059890747,32,0.01575993647596945,0.9747995627157618,6.618595597183474e-05,2048,256_256
8,COMPLETE,-3.0001883506774902,32,0.20599198123025933,0.9314823440222145,0.0006197015748809143,4096,64_64_64
9,PRUNED,-3.850630521774292,32,0.022150109033839915,0.9695988769306226,0.00010903884523201111,1024,64_64
10,PRUNED,-3.951526165008545,64,0.4484279528049796,0.926781836899701,1.028002961790561e-05,4096,128_128
11,PRUNED,-3.837057590484619,256,0.005369332851598963,0.9952206862739146,0.0002505722393071193,4096,64_64_64
12,COMPLETE,-2.773663282394409,128,0.3942112799414265,0.933909083380038,0.000938468825315674,4096,64_64_64
13,COMPLETE,-2.7434937953948975,128,0.4194450108659311,0.9315392429664476,0.0008788346075022581,4096,64_64_64
14,PRUNED,-3.5280632972717285,128,0.47882330070164336,0.9288493510432734,0.0009569107318425041,4096,64_64_64
15,PRUNED,-3.545229434967041,128,0.2669518781065708,0.9390988909362229,0.0004541039421483656,4096,128_128
16,PRUNED,-3.8341095447540283,128,0.06140996436767297,0.9183407141990244,0.00016180455718123841,512,64_64_64
17,PRUNED,-3.5232441425323486,128,0.2818956664925805,0.9447803049748833,0.0005157026283011475,4096,64_64_64
18,PRUNED,-3.613250255584717,128,0.16481159628270664,0.9583157609410515,0.00018499634749190376,4096,64_64_64
19,PRUNED,-3.5460727214813232,128,0.32487937875768935,0.9204377026791247,0.0008474414198643772,4096,128_128
20,PRUNED,-3.826822280883789,128,0.04108821683690462,0.9386644587261906,0.0004266954766838341,512,64_64
21,PRUNED,-3.5355064868927,256,0.19576518754729946,0.9324215681766392,0.0006746831642572288,4096,64_64_64
22,COMPLETE,-2.838390827178955,64,0.49802112978954455,0.9163346263082895,0.0006897125551803169,4096,64_64_64
23,COMPLETE,-2.8233835697174072,64,0.48705537514525754,0.9214514541491334,0.0009211004409905548,4096,64_64_64
24,PRUNED,-3.5205116271972656,64,0.3380975686294556,0.9023934447251162,0.0009579137240012587,4096,64_64_64
25,PRUNED,-3.5148894786834717,64,0.12871612158007448,0.9145788746070128,0.0003320933560048092,4096,64_64_64
26,PRUNED,-3.523268222808838,64,0.2525576870578045,0.9387521053072722,0.0005248890046312836,4096,64_64_64
27,PRUNED,-3.5532021522521973,128,0.3522084611572742,0.9599189376068544,0.00014162104966099695,4096,64_64_64
28,PRUNED,-3.6227588653564453,128,0.10388421278803,0.9240830754907976,0.0002445299096136228,1024,128_128
29,COMPLETE,-2.7548696994781494,64,0.19863198567911208,0.9130846594385456,0.0009884157497089987,512,64_64
30,PRUNED,-3.6126914024353027,256,0.19949059617733575,0.9120271438512615,0.00036078128195413003,512,64_64
31,COMPLETE,-3.0376179218292236,64,0.3844869737793252,0.923496554973739,0.0009609207360525327,512,64_64
32,COMPLETE,-2.8100197315216064,64,0.2642805562853252,0.9343848315099887,0.0006899125426031416,512,64_64
33,COMPLETE,-2.7945051193237305,64,0.2492572657051217,0.944199657253706,0.0006489026146534707,512,64_64
34,PRUNED,-3.531525135040283,64,0.0733397932651681,0.947062976045636,0.0005433321872551012,512,64_64
35,PRUNED,-3.5808825492858887,64,0.09896252478107982,0.9577394882426664,0.0006770762245230324,512,64_64
36,PRUNED,-3.6403610706329346,128,0.15411235874680798,0.9438703350465809,6.780737811238161e-05,512,64_64
37,COMPLETE,-3.0286097526550293,256,0.22970286283980976,0.9518064318206215,0.0004315455656156665,512,64_64
38,PRUNED,-2.849017381668091,64,0.3750527231246529,0.9077967764091478,0.000746166203154971,2048,256_256
39,PRUNED,-3.6177849769592285,128,0.12907662731640415,0.9000611842181901,0.00028392294438050634,512,64_64
40,PRUNED,-3.6820685863494873,64,0.17825712115688272,0.9659249730859859,1.7887173903377582e-05,1024,256_256
41,PRUNED,-2.8486554622650146,64,0.29114473213227354,0.9327968436899821,0.0007437807554833869,512,64_64
42,COMPLETE,-2.9755568504333496,64,0.24501031279477048,0.9360495881639653,0.000615741801807606,512,64_64
43,PRUNED,-2.993001699447632,64,0.4030818931714617,0.9432021581373724,0.0005590505297899229,512,64_64
44,COMPLETE,-2.798962116241455,32,0.3189610024850674,0.9289113739506362,0.0007840804802802708,2048,64_64
45,PRUNED,-3.4819366931915283,32,0.3268631900824272,0.9282142037259861,0.0009906875965967074,2048,64_64
46,PRUNED,-3.08420991897583,32,0.03551628212614069,0.911591152964344,0.00037547474798698473,2048,64_64
47,PRUNED,-3.4804298877716064,32,0.20447213507232406,0.9263814224756641,0.0008021029748269554,2048,256_256
48,PRUNED,-3.729705333709717,32,0.023110169464925043,0.9489726135471037,2.956194782529102e-05,2048,128_128
49,PRUNED,-3.4842536449432373,32,0.42542635962731484,0.9960676006852787,0.0004720536139563884,2048,64_64
50,PRUNED,-3.6586475372314453,128,0.1449885049134437,0.9411694470109206,6.619024268572918e-05,1024,64_64_64
51,PRUNED,-2.8786306381225586,64,0.2889099789917361,0.9352633845559127,0.0008095478617344401,512,64_64
52,PRUNED,-2.819539785385132,128,0.24907975871920154,0.931050694639559,0.0006285627676766238,512,64_64
53,PRUNED,-3.2656288146972656,32,0.3280816444883788,0.9357533852168628,0.0008043500757697195,512,64_64
54,PRUNED,-3.6183993816375732,256,0.22194345974797014,0.9299443741618765,0.00054971543881777,2048,64_64
55,PRUNED,-3.793938159942627,64,0.008953964806898421,0.9540837887815874,0.0006405944132698939,512,64_64
56,PRUNED,-3.519723415374756,128,0.40299004638599406,0.9474403136393466,0.0008117220665291826,4096,64_64_64
57,PRUNED,-3.598902940750122,64,0.05323350269251203,0.9196054315160049,0.00020113894376160555,1024,128_128
58,PRUNED,-3.5235066413879395,128,0.2820186694869609,0.9248553503388979,0.0004285121939219687,4096,64_64_64
59,PRUNED,-2.982750177383423,32,0.16841963223911224,0.9913660499432542,0.0009817551302579576,512,64_64
